Name,Ingredients,Diet,Preparation_Time,Cooking_Time,Flavor,Course_Name,State,Region
Bengena Pitika,"Brinjal, onions, salt, sesame seeds, coriander",Vegetarian,20,45,Spicy,Main Course,Assam,North East
Bilahi Maas,"Potatoes, garam masala, tomatoes, mustard oil, bay leaf",Non-Vegetarian,10,20,Spicy,Main Course,Assam,North East
Black rice,"Forbidden black rice, chicken, olive oil, slivered almonds, garlic powder",Non-Vegetarian,20,30,Normal,Main Course,Manipur,North East
Bora Sawul,"Biryani masala, mixed vegetables, yellow moong daal, whole red, mustard seeds",Vegetarian,20,45,Spicy,Main Course,Assam,North East
Brown Rice,"Brown rice, soy sauce, olive oil",Vegetarian,15,25,Normal,Main Course,Himachal Pradesh,North
Chingri malai curry,"Coconut milk, lobster, fresh green chilli, ginger, red onion",Non-Vegetarian,10,40,Spicy,Main Course,West Bengal,East
Goja,"Baking soda, clarified butter, oil, all purpose flour",Vegetarian,20,60,Sweet,Dessert,West Bengal,East
Hando Guri,"Jaggery, raisins",Vegetarian,20,45,Sweet,Dessert,Assam,North East
Haq Maas,"Lamb, garam masala powder, curd, turmeric, bay leaf",Non-Vegetarian,20,40,Spicy,Main Course,Assam,North East
Chingri Bhape,"Coconut, prawns, curd, mustard seed, green chili",Non-Vegetarian,15,30,Spicy,Main Course,West Bengal,East
Kabiraji,"Fish fillet, besan, lemon, mint, ginger",Non-Vegetarian,20,30,Spicy,Main Course,West Bengal,East
Khorisa,"Fermented bamboo shoot, potato, ginger, green, mustard oil",Vegetarian,20,45,Spicy,Main Course,Assam,North East
Koldil Chicken,"Banana flower, chicken, green chili, mustard oil, lemon juice",Non-Vegetarian,20,30,Spicy,Main Course,Assam,North East
Konir Dom,"Aloo, tomatoes, mustard oil, bay leaf, cinnamon stick",Non-Vegetarian,20,30,Spicy,Main Course,Assam,North East
Koldil Duck,"Rice flour, mutton, banana, gram flour, olive oil, baking powder",Non-Vegetarian,20,30,Spicy,Main Course,Assam,North East
Masor Koni,"Fish roe, pumpkin flowers, mustard oil, turmeric, tomato",Non-Vegetarian,20,30,Spicy,Main Course,Assam,North East
Mishti Chholar Dal,"Chana dal, fresh coconut, ginger, cinnamon, raisins",Vegetarian,10,30,Sweet,Main Course,West Bengal,East
Pakhala,"Curd, cooked rice, curry leaves, dry chilli",Vegetarian,20,45,Normal,Main Course,Odisha,East
Pani Pitha,"Tea leaves, white sesame seeds, dry coconut, soaked rice",Vegetarian,10,20,Bitter,Main Course,Assam,North East
Payokh,"Basmati rice, rose water, sugar, clarified butter, cardamom pods",Vegetarian,20,45,Sweet,Dessert,Assam,North East
Prawn malai curry,"Coconut milk, prawns, garlic, turmeric, sugar",Non-Vegetarian,15,50,Spicy,Main Course,West Bengal,East
Red Rice,"Red pepper, red onion, butter, watercress, olive oil",Vegetarian,20,45,Spicy,Main Course,Himachal Pradesh,North
Shukto,"Green beans, bitter gourd, ridge gourd, banana, brinjal",Vegetarian,10,20,Spicy,Main Course,West Bengal,East
Til Pitha,"Glutinous rice, black sesame seeds, gur",Vegetarian,5,30,Sweet,Dessert,Assam,North East
Bebinca,"Coconut milk, egg yolks, clarified butter, all purpose flour",Vegetarian,20,60,Sweet,Dessert,Goa,West
Shufta,"Cottage cheese, dry dates, dried rose petals, pistachio, badam",Vegetarian,20,45,Sweet,Dessert,Jammu & Kashmir,North
Mawa Bati,"Milk powder, dry fruits, arrowroot powder, all purpose flour",Vegetarian,20,45,Sweet,Dessert,Madhya Pradesh,Central
Pinaca,"Brown rice, fennel seeds, grated coconut, black pepper, ginger powder",Vegetarian,20,45,Sweet,Dessert,Goa,West
